segment_id,segment_name,corridor_id,corridor_name,period_start,period_end,source_mode,vehicle_count_semantics,calculation_mode,quality_status,tsp_kg_h,nox_kg_h,so2_kg_h,hc_kg_h,co_kg_h,co2_kg_h,ch4_kg_h,n2o_kg_h,car_vehicles_h,motorcycle_vehicles_h,bus_vehicles_h,truck_vehicles_h,car_vkt_km_h,motorcycle_vkt_km_h,bus_vkt_km_h,truck_vkt_km_h,observed_at,processed_at,calculation_version,source_cameras,source_streams,source_observation_count,observation_duration_seconds,calculation_metadata
SEG-0012,Jalan Cornelis Simanjuntak,SEG-0012,Jalan Cornelis Simanjuntak,2026-09-11T17:50:00+00:00,2026-09-11T17:51:00+00:00,SNAPSHOT_REAL,snapshot_occupancy,live_occupancy_estimate,estimated,0.011766,0.077433,0.0012084,0.40863,1.9398000000000002,252.81,0.014628000000000002,0.0002544,40.0,60.0,0.0,0.0,31.8,47.7,0.0,0.0,2026-09-11T17:50:30.335139+00:00,2026-09-11T17:50:41.404041+00:00,2,"[""atcs_terban_barat""]","[""default""]",1,180.0,"{""stream_durations_seconds"": {""default"": 180}, ""emission_factor_set"": ""proposal_tier2_g_per_vehicle_km_v1"", ""control_efficiency_percent"": 0.0, ""road_length_km"": 0.795, ""volume_basis"": ""occupancy_extrapolation"", ""flow_exit_policy"": null, ""roi_status"": ""uncalibrated""}"
SEG-0028,Jalan Margo Utomo,SEG-0028,Jalan Margo Utomo,2026-09-11T17:50:00+00:00,2026-09-11T17:51:00+00:00,SNAPSHOT_REAL,snapshot_occupancy,live_occupancy_estimate,estimated,0.0001492,0.02984,0.00038792,0.05968,0.5968,47.4456,0.0010444,7.46e-05,20.0,0.0,0.0,0.0,14.92,0.0,0.0,0.0,2026-09-11T17:50:41.043912+00:00,2026-09-11T17:50:42.411841+00:00,2,"[""atcs_tugu""]","[""default""]",1,180.0,"{""stream_durations_seconds"": {""default"": 180}, ""emission_factor_set"": ""proposal_tier2_g_per_vehicle_km_v1"", ""control_efficiency_percent"": 0.0, ""road_length_km"": 0.746, ""volume_basis"": ""occupancy_extrapolation"", ""flow_exit_policy"": null, ""roi_status"": ""uncalibrated""}"
SEG-0045,Jalan R.E. Martadinata,SEG-0045,Jalan R.E. Martadinata,2026-09-11T17:50:00+00:00,2026-09-11T17:51:00+00:00,SNAPSHOT_REAL,snapshot_occupancy,live_occupancy_estimate,estimated,0.0134784,0.0162864,0.00044928000000000004,0.331344,0.78624,178.58880000000002,0.014601600000000001,0.00011232000000000001,0.0,60.0,0.0,0.0,0.0,56.160000000000004,0.0,0.0,2026-09-11T17:50:30.520921+00:00,2026-09-11T17:50:41.731812+00:00,2,"[""atcs_wirobrajan""]","[""default""]",1,180.0,"{""stream_durations_seconds"": {""default"": 180}, ""emission_factor_set"": ""proposal_tier2_g_per_vehicle_km_v1"", ""control_efficiency_percent"": 0.0, ""road_length_km"": 0.936, ""volume_basis"": ""occupancy_extrapolation"", ""flow_exit_policy"": null, ""roi_status"": ""uncalibrated""}"
SEG-0062,Jalan Panembahan Senopati,SEG-0062,Jalan Panembahan Senopati,2026-09-11T17:50:00+00:00,2026-09-11T17:51:00+00:00,SNAPSHOT_REAL,snapshot_occupancy,live_occupancy_estimate,estimated,0.0032256,0.0038976,0.00010752000000000001,0.079296,0.18816000000000002,42.739200000000004,0.003494400000000001,2.6880000000000004e-05,0.0,20.0,0.0,0.0,0.0,13.440000000000001,0.0,0.0,2026-09-11T17:50:30.929151+00:00,2026-09-11T17:50:42.296898+00:00,2,"[""malioboro_nol_km_timur""]","[""default""]",1,180.0,"{""stream_durations_seconds"": {""default"": 180}, ""emission_factor_set"": ""proposal_tier2_g_per_vehicle_km_v1"", ""control_efficiency_percent"": 0.0, ""road_length_km"": 0.672, ""volume_basis"": ""occupancy_extrapolation"", ""flow_exit_policy"": null, ""roi_status"": ""uncalibrated""}"
SEG-0069,Jalan Bugisan,SEG-0069,Jalan Bugisan,2026-09-11T17:50:00+00:00,2026-09-11T17:51:00+00:00,SNAPSHOT_REAL,snapshot_occupancy,live_occupancy_estimate,estimated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-09-11T17:50:30.883945+00:00,2026-09-11T17:50:42.101502+00:00,2,"[""atcs_patangpuluhan""]","[""default""]",1,600.0,"{""stream_durations_seconds"": {""default"": 600}, ""emission_factor_set"": ""proposal_tier2_g_per_vehicle_km_v1"", ""control_efficiency_percent"": 0.0, ""road_length_km"": 0.467, ""volume_basis"": ""occupancy_extrapolation"", ""flow_exit_policy"": null, ""roi_status"": ""uncalibrated""}"
SEG-0070,Jalan Madumurti,SEG-0070,Jalan Madumurti,2026-09-11T17:50:00+00:00,2026-09-11T17:51:00+00:00,SNAPSHOT_REAL,snapshot_occupancy,live_occupancy_estimate,estimated,2.3940000000000005e-05,0.004788000000000001,6.2244e-05,0.009576000000000001,0.09576000000000001,7.61292,0.00016758000000000005,1.1970000000000002e-05,6.0,0.0,0.0,0.0,2.394,0.0,0.0,0.0,2026-09-11T17:50:41.070957+00:00,2026-09-11T17:50:42.697188+00:00,2,"[""atcs_sugeng_jeroni2""]","[""default""]",1,600.0,"{""stream_durations_seconds"": {""default"": 600}, ""emission_factor_set"": ""proposal_tier2_g_per_vehicle_km_v1"", ""control_efficiency_percent"": 0.0, ""road_length_km"": 0.399, ""volume_basis"": ""occupancy_extrapolation"", ""flow_exit_policy"": null, ""roi_status"": ""uncalibrated""}"
SEG-0083,Jalan Brigadir Jenderal Katamso,SEG-0083,Jalan Brigadir Jenderal Katamso,2026-09-11T17:50:00+00:00,2026-09-11T17:51:00+00:00,SNAPSHOT_REAL,snapshot_occupancy,live_occupancy_estimate,estimated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-09-11T17:50:30.259478+00:00,2026-09-11T17:50:41.279824+00:00,2,"[""atcs_gondomanan""]","[""default""]",1,180.0,"{""stream_durations_seconds"": {""default"": 180}, ""emission_factor_set"": ""proposal_tier2_g_per_vehicle_km_v1"", ""control_efficiency_percent"": 0.0, ""road_length_km"": 0.739, ""volume_basis"": ""occupancy_extrapolation"", ""flow_exit_policy"": null, ""roi_status"": ""uncalibrated""}"
SEG-0105,Jalan Imogiri Timur,SEG-0105,Jalan Imogiri Timur,2026-09-11T17:50:00+00:00,2026-09-11T17:51:00+00:00,SNAPSHOT_REAL,snapshot_occupancy,live_occupancy_estimate,estimated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-09-11T17:50:30.800835+00:00,2026-09-11T17:50:41.963330+00:00,2,"[""atcs_tegalgendu_selatan""]","[""default""]",1,600.0,"{""stream_durations_seconds"": {""default"": 600}, ""emission_factor_set"": ""proposal_tier2_g_per_vehicle_km_v1"", ""control_efficiency_percent"": 0.0, ""road_length_km"": 0.674, ""volume_basis"": ""occupancy_extrapolation"", ""flow_exit_policy"": null, ""roi_status"": ""uncalibrated""}"
SEG-0108,Jalan Parangtritis,SEG-0108,Jalan Parangtritis,2026-09-11T17:50:00+00:00,2026-09-11T17:51:00+00:00,SNAPSHOT_REAL,snapshot_occupancy,live_occupancy_estimate,estimated,3.978e-05,0.007956000000000001,0.000103428,0.015912000000000003,0.15912,12.65004,0.00027846,1.989e-05,6.0,0.0,0.0,0.0,3.978,0.0,0.0,0.0,2026-09-11T17:50:30.373233+00:00,2026-09-11T17:50:41.485812+00:00,2,"[""atcs_jogokariyan_selatan""]","[""default""]",1,600.0,"{""stream_durations_seconds"": {""default"": 600}, ""emission_factor_set"": ""proposal_tier2_g_per_vehicle_km_v1"", ""control_efficiency_percent"": 0.0, ""road_length_km"": 0.663, ""volume_basis"": ""occupancy_extrapolation"", ""flow_exit_policy"": null, ""roi_status"": ""uncalibrated""}"
SEG-0112,Jalan Sisingamangaraja,SEG-0112,Jalan Sisingamangaraja,2026-09-11T17:50:00+00:00,2026-09-11T17:51:00+00:00,SNAPSHOT_REAL,snapshot_occupancy,live_occupancy_estimate,estimated,0.0081564,0.0693294,0.00541818,0.0075737999999999995,0.064086,18.480072,0.00034956,0.00018060599999999998,0.0,0.0,6.0,0.0,0.0,0.0,5.826,0.0,2026-09-11T17:50:30.439677+00:00,2026-09-11T17:50:41.596333+00:00,2,"[""atcs_pasar_telo_utara""]","[""default""]",1,600.0,"{""stream_durations_seconds"": {""default"": 600}, ""emission_factor_set"": ""proposal_tier2_g_per_vehicle_km_v1"", ""control_efficiency_percent"": 0.0, ""road_length_km"": 0.971, ""volume_basis"": ""occupancy_extrapolation"", ""flow_exit_policy"": null, ""roi_status"": ""uncalibrated""}"
