metric,value
generated_at,2026-09-10T12:35:52.050896+00:00
source.source_file,D:\Coolyeah\MAPID\ecotraffic-gis\backend\data\output\activities.csv
source.row_count,68
source.column_count,14
source.columns,"[""id"", ""title"", ""description"", ""geometry.coordinates"", ""medias"", ""total_comment"", ""created_at"", ""likes"", ""user_name"", ""user_full_name"", ""user_profile_picture"", ""community_name"", ""community_picture"", ""community_description""]"
source.data_types.id,"[""string""]"
source.data_types.title,"[""string""]"
source.data_types.description,"[""string""]"
source.data_types.geometry.coordinates,"[""list""]"
source.data_types.medias,"[""list""]"
source.data_types.total_comment,"[""integer_string""]"
source.data_types.created_at,"[""string""]"
source.data_types.likes,"[""list""]"
source.data_types.user_name,"[""string""]"
source.data_types.user_full_name,"[""string""]"
source.data_types.user_profile_picture,"[""dict""]"
source.data_types.community_name,"[""string""]"
source.data_types.community_picture,"[""string""]"
source.data_types.community_description,"[""string""]"
source.null_counts.id,0
source.null_counts.title,0
source.null_counts.description,0
source.null_counts.geometry.coordinates,0
source.null_counts.medias,0
source.null_counts.total_comment,0
source.null_counts.created_at,0
source.null_counts.likes,0
source.null_counts.user_name,0
source.null_counts.user_full_name,0
source.null_counts.user_profile_picture,0
source.null_counts.community_name,0
source.null_counts.community_picture,0
source.null_counts.community_description,0
source.duplicate_count,0
source.duplicate_source_id_count,0
source.content_duplicate_count,1
source.unique_id_count,68
source.coordinate_validity.valid,68
source.coordinate_validity.invalid,0
source.timestamp_validity.valid,68
source.timestamp_validity.invalid,0
source.description_completeness.present,68
source.description_completeness.missing,0
source.description_completeness.word_count_min,56
source.description_completeness.word_count_max,190
source.description_completeness.word_count_average,95.72
source.description_completeness.explicit_time_mentions,67
source.media_format.valid_json_arrays,68
source.media_format.invalid,0
source.media_format.image_count,340
source.media_format.video_count,78
total_records,68
duplicate_records,2
invalid_coordinates,0
missing_descriptions,0
missing_observed_time,1
missing_observed_at,38
missing_stop_name,4
unresolved_stop_entities,4
low_confidence_records,1
validation_failures,0
field_coverage.usage.count,59
field_coverage.usage.percent,86.76
field_coverage.facility.count,54
field_coverage.facility.percent,79.41
field_coverage.accessibility.count,9
field_coverage.accessibility.percent,13.24
field_coverage.condition.count,26
field_coverage.condition.percent,38.24
field_coverage.environment.count,2
field_coverage.environment.percent,2.94
field_coverage.issue.count,26
field_coverage.issue.percent,38.24
entity_resolution.resolved_unique,62
entity_resolution.unresolved_missing_stop_name,4
entity_resolution.resolved_same_name_nearby,2
entity_resolution.unique_stop_ids,63
llm.provider,openrouter
llm.model,nvidia/nemotron-3.5-lightning:free
llm.number_of_calls,0
llm.successful_calls,0
llm.failed_calls,0
llm.retry_count,0
llm.cache_hits,0
llm.rate_limit_errors,0
llm.validation_failures,0
llm.prompt_tokens,0
llm.completion_tokens,0
llm.total_tokens,0
llm.structured_output_fallbacks,0
